
---------- Begin Simulation Statistics ----------
simSeconds                                   0.442581                       # Number of seconds simulated (Second)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                   0                       # Number of nop insts executed (Count)
system.cpu.numRefs                           41919594                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                        5667821                       # Number of branches executed (Count)
system.cpu.numStoreInsts                      3582801                       # Number of stores executed (Count)
system.cpu.numRate                           0.083433                       # Inst execution rate ((Count/Cycle))
system.cpu.instsToCommit                     73852217                       # Cumulative count of insts sent to commit (Count)
system.cpu.writebackCount                    40598180                       # Cumulative count of insts written-back (Count)
system.cpu.producerInst                      29204108                       # Number of instructions producing a value (Count)
system.cpu.consumerInst                      73631131                       # Number of instructions consuming a value (Count)
system.cpu.wbRate                            0.045865                       # Insts written-back per cycle ((Count/Cycle))
system.cpu.wbFanout                          0.396627                       # Average fanout of values written-back ((Count/Count))
system.cpu.timesIdled                         5630083                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                       368725337                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                    35664034                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                      39944802                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                              24.819486                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                         24.819486                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               0.040291                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          0.040291                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                   85641703                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                  31028006                       # Number of integer regfile writes (Count)
system.cpu.ccRegfileReads                   236917403                       # number of cc regfile reads (Count)
system.cpu.ccRegfileWrites                   23241832                       # number of cc regfile writes (Count)
system.cpu.miscRegfileReads                 662387292                       # number of misc regfile reads (Count)
system.cpu.miscRegfileWrites                        6                       # number of misc regfile writes (Count)
system.cpu.MemDepUnit__0.insertedLoads        5445484                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores       3755225                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups                 6078680                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted           4297002                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect             41209                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups              2759730                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBHits                 2759550                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.999935                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                  606161                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                101                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups              40                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits                 16                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses               24                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted            5                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts         2778907                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls               2                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts             41139                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples    516076084                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::mean     0.077401                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::stdev     0.528695                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::0       497329650     96.37%     96.37% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::1        11001338      2.13%     98.50% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::2         2596264      0.50%     99.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::3         2086061      0.40%     99.41% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::4          974578      0.19%     99.60% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::5          673026      0.13%     99.73% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::6          287126      0.06%     99.78% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::7          517773      0.10%     99.88% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::8          610268      0.12%    100.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::total    516076084                       # Number of insts commited each cycle
system.cpu.commit.instsCommitted             35664034                       # Number of instructions committed (Count)
system.cpu.commit.opsCommitted               39944802                       # Number of ops (including micro ops) committed (Count)
system.cpu.commit.memRefs                     8587758                       # Number of memory references committed (Count)
system.cpu.commit.loads                       5082632                       # Number of loads committed (Count)
system.cpu.commit.amos                              0                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                           0                       # Number of memory barriers committed (Count)
system.cpu.commit.branches                    5600585                       # Number of branches committed (Count)
system.cpu.commit.vectorInstructions                0                       # Number of committed Vector instructions. (Count)
system.cpu.commit.floating                          0                       # Number of committed floating point instructions. (Count)
system.cpu.commit.integer                    35962270                       # Number of committed integer instructions. (Count)
system.cpu.commit.functionCalls                806992                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass     39944802      1.89%      1.89% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu     39944802      1.89%      3.77% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntMult     39944802      1.89%      5.66% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntDiv     39944802      1.89%      7.55% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatAdd     39944802      1.89%      9.43% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCmp     39944802      1.89%     11.32% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCvt     39944802      1.89%     13.21% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMult     39944802      1.89%     15.09% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMultAcc     39944802      1.89%     16.98% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatDiv     39944802      1.89%     18.87% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMisc     39944802      1.89%     20.75% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatSqrt     39944802      1.89%     22.64% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAdd     39944802      1.89%     24.53% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAddAcc     39944802      1.89%     26.42% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAlu     39944802      1.89%     28.30% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCmp     39944802      1.89%     30.19% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCvt     39944802      1.89%     32.08% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMisc     39944802      1.89%     33.96% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMult     39944802      1.89%     35.85% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMultAcc     39944802      1.89%     37.74% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShift     39944802      1.89%     39.62% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShiftAcc     39944802      1.89%     41.51% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdDiv     39944802      1.89%     43.40% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSqrt     39944802      1.89%     45.28% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatAdd     39944802      1.89%     47.17% # Class of committed instruction (Count)
